sample_name	cell_line	medium	rna_seq	technology	batch	ENA_study_ID
GSM1868823	Epi	none	single_cell	paired_end	blakeley	PRJNA277181
GSM1868822	Epi	none	single_cell	paired_end	blakeley	PRJNA277181
GSM1868821	Epi	none	single_cell	paired_end	blakeley	PRJNA277181
GSM1868819	Epi	none	single_cell	paired_end	blakeley	PRJNA277181
GSM1868820	Epi	none	single_cell	paired_end	blakeley	PRJNA277181
GSM1868818	Epi	none	single_cell	paired_end	blakeley	PRJNA277181
GSM1624228	Epi	none	single_cell	paired_end	blakeley	PRJNA277181
GSM1868817	Epi	none	single_cell	paired_end	blakeley	PRJNA277181
GSM1868810	PE	none	single_cell	paired_end	blakeley	PRJNA277181
GSM1868811	PE	none	single_cell	paired_end	blakeley	PRJNA277181
GSM1868812	PE	none	single_cell	paired_end	blakeley	PRJNA277181
GSM1868813	PE	none	single_cell	paired_end	blakeley	PRJNA277181
GSM1868814	PE	none	single_cell	paired_end	blakeley	PRJNA277181
GSM1624232	PE	none	single_cell	paired_end	blakeley	PRJNA277181
GSM1624222	TE	none	single_cell	paired_end	blakeley	PRJNA277181
GSM1624223	TE	none	single_cell	paired_end	blakeley	PRJNA277181
GSM1624224	TE	none	single_cell	paired_end	blakeley	PRJNA277181
GSM1624225	TE	none	single_cell	paired_end	blakeley	PRJNA277181
GSM1624226	TE	none	single_cell	paired_end	blakeley	PRJNA277181
GSM1624227	TE	none	single_cell	paired_end	blakeley	PRJNA277181
GSM1624229	TE	none	single_cell	paired_end	blakeley	PRJNA277181
GSM1624230	TE	none	single_cell	paired_end	blakeley	PRJNA277181
GSM1624231	TE	none	single_cell	paired_end	blakeley	PRJNA277181
GSM1624233	TE	none	single_cell	paired_end	blakeley	PRJNA277181
GSM1624234	TE	none	single_cell	paired_end	blakeley	PRJNA277181
GSM1624235	TE	none	single_cell	paired_end	blakeley	PRJNA277181
GSM1624236	TE	none	single_cell	paired_end	blakeley	PRJNA277181
GSM1868815	TE	none	single_cell	paired_end	blakeley	PRJNA277181
GSM1868816	TE	none	single_cell	paired_end	blakeley	PRJNA277181
WAM464A1_S1	H1	AI	single_cell	paired_end	wamaitha	This study
